,image_id,question,question_id,answer
486,324161,Who erected this street clock?,324161006,union station
487,551154,What kind of bed is in the photo?,551154002,twin
488,235241,How old are these people?,235241003,middle aged
489,91954,How many train cars are wooden?,91954001,2
490,489916,Are there worms on the plate?,489916006,no
491,367429,Do these look like high school students?,367429007,yes
492,129520,Are the horses racing?,129520001,yes
493,568281,What is in the cup?,568281017,water
494,311759,Is this bear alive?,311759001,no
495,536403,Were the hot dogs prepared the same way?,536403000,yes
496,449888,Is this animal eating broccoli?,449888000,no
497,356878,How is the girl's hair styled?,356878004,straight
498,308476,Does this animal know how to fly?,308476006,no
499,390627,Does anybody use this kitchen?,390627009,no
500,485129,Is there a boat in the picture?,485129000,yes
501,218766,Are they on a grass court?,218766000,yes
502,339245,What is the man in black doing?,339245000,batting
503,215259,What color is the wall?,215259005,yellow
504,277521,What color is the street sign?,277521002,blue
505,422040,What color is the label on the woman's water bottle?,422040004,blue
506,50926,Are the people controlling the object in the air?,50926002,yes
507,374266,How tall is the fence?,374266001,6 feet
508,196118,How many clocks are on the tower?,196118001,1
509,50926,How many people are there?,50926004,3
510,564657,Is this a men's room or a ladies' room?,564657002,men's
511,353935,Are these waffles?,353935000,yes
512,205729,Is it cold?,205729002,yes
513,207797,Where is the sun?,207797003,behind clouds
514,527440,What kind of tractor is the man riding?,527440002,john deere
515,165387,How likely is it that the batter will hit a home run?,165387001,very
516,574282,What game is this?,574282000,soccer
517,350309,Are the bus's lights turned on?,350309000,yes
518,220531,What does this woman have on her nose?,220531005,nothing
519,518039,What color is the plate?,518039001,white
520,186368,Is the woman wearing earplugs?,186368000,yes
521,459176,Has the weather been rainy?,459176000,no
522,282940,What time of day is this?,282940020,afternoon
523,541054,What letter is on the tennis racket?,541054002,w
524,29640,What kind of meat is in the pan?,29640002,pork
525,54301,What sport is this?,54301000,baseball
526,58569,How many buses?,58569000,3
527,345063,What is the name of the Avenue?,345063001,willow
528,495131,What sport is this?,495131001,snowboarding
529,268941,What kind of boat is this?,268941001,yacht
530,145015,What is on the bed?,145015001,blankets
531,491755,What type of ceiling is visible in this picture?,491755019,flat
532,189193,Are those roller skates?,189193001,no
533,504293,What is this person sitting on?,504293014,chair
534,337042,What time of day is it?,337042002,night
535,576927,What is on the bench?,576927000,rocks
536,412878,What color is the chair?,412878000,green
537,72077,How many wheels on each bed?,72077002,4
538,170862,Is this a clock?,170862001,no
539,375021,What team is being represented?,375021000,jiyugaoka
540,210098,Is this an umbrella or a parachute?,210098003,umbrella
541,237566,Are the cows in a zoo?,237566001,no
542,110999,What color is the food?,110999000,yellow
543,511929,What is the person trying to do?,511929002,surf
544,167529,What is the long thing by the sink?,167529003,razor
545,362123,Is this a suburb?,362123000,yes
546,99553,Is the ground dirt or concrete?,99553002,dirt
547,143247,What color are the couches?,143247004,green
548,199047,Is the light on?,199047001,yes
549,97579,Who is holding a gun?,97579001,man in picture
550,536110,Where is the bird?,536110016,sky
551,227399,Is this a real train?,227399011,no
552,571585,Is the fridge fully parked?,571585024,no
553,142360,How many green wheels are there?,142360003,0
554,435709,What time is it?,435709001,1:00
555,78820,How many pepperonis are on the pizza?,78820002,10
556,389400,Are this animals in the wild?,389400011,no
557,326798,What color is the building on the left?,326798005,red
558,4764,What kind of motorcycle is this?,4764003,old
559,404464,Is it daylight in this picture?,404464007,no
560,418143,What are these people doing?,418143003,skiing
561,99581,What color is the top right button?,99581002,black
562,17031,How many of the giraffe's eyes are visible in the photo?,17031003,2
563,549224,Is it a plastic fork?,549224022,no
564,194885,What room is this?,194885003,bedroom
565,381037,What room is this?,381037033,kitchen
566,285361,Is he on one or two skis?,285361012,2
567,405196,What is the red vegetable?,405196002,pepper
568,272728,What color are the flowers?,272728005,pink
569,384188,What word is visible on the bag?,384188000,aran
570,443597,How many utensils are there?,443597011,3
571,474906,How many wheels does the truck have?,474906041,4
572,207561,Is the water placid?,207561000,no
573,296604,What brand is this microwave?,296604001,sanyo
574,21671,What is behind the hydrant?,21671002,fence
575,70067,Is there snow outside?,70067001,yes
576,180095,Are these signs both in English?,180095000,no
577,477477,How many people in photo?,477477000,2
578,440352,How many horses are there?,440352009,1
579,39663,Where are the items?,39663001,floor
580,574537,Who is wearing red jacket?,574537000,kid
581,555905,Do you like this room?,555905002,yes
582,479280,What is the bed sitting on?,479280000,floor
583,143143,What color is the man's hair?,143143000,black
584,455483,What nursery rhyme nickname do we call this double bathroom?,455483003,jack and jill
585,231568,Should this man get dressed?,231568008,no
586,430259,Is there black shoes in the photo?,430259003,yes
587,96804,Is the fridge empty?,96804001,yes
588,179584,Is this an adult human?,179584000,yes
589,333286,How many animals are pictured?,333286001,2
590,377577,What is this woman holding?,377577002,umbrella
591,232455,Is the sky clear?,232455006,yes
592,445594,Is the dog reading a book?,445594000,no
593,60483,What president shares the same name as this park?,60483001,thomas jefferson
594,148280,Where is the car parked?,148280002,parking lot
595,15797,Is it  daytime?,15797006,yes
596,513037,What is the vase made of?,513037002,glass
597,396269,What era in history is this style associated with?,396269005,victorian
598,105812,Is the bread toasted?,105812052,yes
599,292741,Does the owner of this equipment like to play computer games?,292741000,yes
600,125655,How many modes of transportation are pictures?,125655009,1
601,275441,What color is the bike?,275441000,blue
602,556608,Are the chairs wooden?,556608000,yes
603,262228,What type of vehicles are these?,262228002,bikes
604,290163,Is this person a chef?,290163001,no
605,118802,What color is his tie?,118802001,gold
606,386227,What surface are they walking atop?,386227002,snow
607,22236,What is the bus number?,22236002,193
608,162858,Which way is the green car going to go?,162858001,left
609,151524,Is anyone sunbathing?,151524005,yes
